G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_34_756.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_34_756.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_34_756.jpg,0,0,0,6.884146E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_34_823.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_34_823.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_34_823.jpg,0,0,0,1.238437E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_34_892.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_34_892.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_34_892.jpg,0,0,0,4.690655E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_34_961.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_34_961.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_34_961.jpg,0,0,0,3.293243E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_030.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_030.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_030.jpg,0,0,0,5.455225E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_099.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_099.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_099.jpg,0,0,0,1.047644E-05
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_167.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_167.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_167.jpg,0,0,0,2.396798E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_237.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_237.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_237.jpg,0,0,0,3.496149E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_307.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_307.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_307.jpg,0,0,0,4.367874E-07
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_375.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_375.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_375.jpg,0,0,0,7.416885E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_444.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_444.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_444.jpg,0,0,0,9.545007E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_513.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_513.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_513.jpg,0,0,0,1.360279E-05
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_582.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_582.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_582.jpg,0,0,0,5.123555E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_651.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_651.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_651.jpg,0,0,0,3.160479E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_719.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_719.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_719.jpg,0,0,0,2.497992E-06
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_789.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_789.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_789.jpg,0,0,0,1.040945E-05
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_856.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_856.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_856.jpg,0,0.0883815,0,0.008477114
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_925.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_925.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_925.jpg,0,0.3300549,0,0.2237035
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_35_992.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_35_992.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_35_992.jpg,0,0.5058963,0,0.5765805
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_061.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_061.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_061.jpg,0,0.6810138,0,0.9483593
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_131.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_131.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_131.jpg,0,0.9246399,0,1.74347
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_200.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_200.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_200.jpg,0,1,0,2.432561
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_270.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_270.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_270.jpg,0,1,0,3.373939
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_339.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_339.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_339.jpg,0,1,0,4.080671
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_409.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_409.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_409.jpg,0,1,0,5.01364
G:\Self-Driving Car\data\IMG\center_2018_11_25_20_21_36_478.jpg,G:\Self-Driving Car\data\IMG\left_2018_11_25_20_21_36_478.jpg,G:\Self-Driving Car\data\IMG\right_2018_11_25_20_21_36_478.jpg,0,1,0,5.708519
